City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
133,santa vitoria do palmar,BR,-33.5189,-53.3681,55.33,75,15,7.05,few clouds
134,karratha,AU,-20.7377,116.8463,82.6,76,7,5.32,clear sky
135,cabo san lucas,MX,22.8909,-109.9124,83.61,38,0,6.91,clear sky
136,seguela,CI,7.9611,-6.6731,77.09,79,74,4.97,light rain
137,aykhal,RU,66.0,111.5,0.28,98,86,10.42,overcast clouds
138,namatanai,PG,-3.6667,152.4333,76.3,93,100,4.81,heavy intensity rain
139,port lincoln,AU,-34.7333,135.8667,62.94,67,42,16.35,scattered clouds
140,portland,US,45.5234,-122.6762,63.28,44,75,5.01,broken clouds
141,broken hill,AU,-31.95,141.4333,55.11,58,0,11.5,clear sky
142,mount pleasant,US,32.7941,-79.8626,77.14,38,0,6.91,clear sky
143,hobart,AU,-42.8794,147.3294,57.25,89,75,10.36,broken clouds
144,flinders,AU,-34.5833,150.8552,63.18,76,97,8.01,light rain
145,chokurdakh,RU,70.6333,147.9167,-12.86,96,29,3.04,scattered clouds
146,amahai,ID,-3.3333,128.9167,79.65,82,75,2.84,broken clouds
147,san quintin,MX,30.4833,-115.95,63.46,61,0,10.85,clear sky
148,atuona,PF,-9.8,-139.0333,78.98,76,29,6.62,light rain
149,port blair,IN,11.6667,92.75,77.04,94,20,2.3,mist
150,coquimbo,CL,-29.9533,-71.3436,56.93,88,40,11.5,scattered clouds
151,hithadhoo,MV,-0.6,73.0833,82.29,73,8,8.63,clear sky
152,eureka,US,40.8021,-124.1637,59.13,73,81,10.0,broken clouds
153,devrek,TR,41.2192,31.9558,59.65,58,65,7.87,broken clouds
154,thompson,CA,55.7435,-97.8558,23.16,74,100,13.8,overcast clouds
155,muros,ES,42.7762,-9.0603,41.09,78,3,9.66,clear sky
156,hami,CN,42.8,93.45,48.63,21,20,6.62,few clouds
157,high level,CA,58.5169,-117.136,17.71,79,100,6.91,light snow
158,araci,BR,-11.3333,-38.9667,76.82,74,63,10.47,broken clouds
159,tambo,PE,-14.8,-73.9167,38.68,90,99,6.87,overcast clouds
160,storforshei,NO,66.4043,14.5233,26.65,92,75,2.3,light snow
